"","Yorumlar","Sentiment","Duygu"
"1570","",0,"Nötr"
"1571","yaptı eyvallah kral",0.6,"Pozitif"
"1572","rahmet eylesin<br>gerçek",0.9,"Pozitif"
"1573","leauge legendsin geleceği parlak",0.2,"Pozitif"
"1574","evde mecliste denemeyinquot",0.4,"Pozitif"
"1575","ilgimi çeken yanı deki adamdır",0.4,"Pozitif"
"1576","",0,"Nötr"
"1577","lol dota çakmasıdır",0.1,"Pozitif"
"1578","kardeş meraklı olmama rağman yabancı olduğum konuydu yıllardır internet cafe lerde oyunu oynayanlarla içten içe dalga geçmeme rağmen soluksuz ralli <del>toprak çamurda sürülen<del><br> araba yarışlarını bilir oynarım teşekürler gönlünüze sağlık",0.7,"Pozitif"
"1579","duygulandım lan",0.3,"Pozitif"
"1580","spor belli kurallara tekniklere uyularak yapılan bedensel gelişmeye yararlı eğlenmek yarışmak amacı bulunan beden hareketlerinin tümünün ortak adı burada elektronik sporun spor olmamasına karşı cümle elektronik spor spordur",0.4,"Pozitif"
"1581","nııı nııı nıı nııı nııı nıııı kahkahaya boğuldum yaşıyosun olayı assassins creed team sonunu izlemeden yorum yapmıştım final gözlerimi doldurdu iyi varsın",0,"Nötr"
"1582","seviyoruz oynuyoruz oyunu",0.3,"Pozitif"
"1583","gençler hayattan sıkılıp yeni zion yaratmışlar gençleri at yarışına hazırlar uğraşırsanız onlarda yeni dünya kurarlar kendilerine sanal gerçeklik teknolojisi yaygın olacak görünüyor durum doğru peki tabi hayır sanal alem gerçekliğinde yaşamaya başlarsanız şeker hastası olmanız garanti uzak durulması gerek türlü",0,"Nötr"
"1584","kapaniş mükemmeldi",0.3,"Pozitif"
"1585","sonunda ellerine sağlık uzun süredir ürperip duygulandığımı hatırlamıyorum",0.9,"Pozitif"
"1586","herşeyi biliyorum konu özcansa sonuna izlerim",0.8,"Pozitif"
"1587","son beklemiyordum güzel acayip lol oynayasım geldi ders çalışmam gerek",0.6,"Pozitif"
"1588","",0,"Nötr"
"1589","fatihquotgob bquotdayık yaşında cs go oyuncusu şuan quotbigquot takımının in game leaderıdır kendileri",0.2,"Pozitif"
"1590","elektronik spor kelimesi yanlış tabir dijital eğlenceoyun denebilirdi",0,"Nötr"
"1591","sonunda gözlerim doldu gönlüne kurban olayim",0.8,"Pozitif"
"1592","oyun oynamakda sıkıntı bağımlılık meslek haline gelecek yapmak sakincali adamlar boyunca bilgisayarin başindalar gerçek hayattan haberler insanlar sanal alemde degilde gerçek dunyada yaşamali arti şataftli gösteriler müsabakalar bunlarin hepsi insanlarin ilgisini çekip oyun dünyasinin parçasi haline getirmek şeyi dozunda yapmak iyidir bunlar fikirlerim oynayan yarişan para kazanan kişilerede oynamayin kardeşim bilgisayarin başinda mala bağliyosunuz filan dedigim çilginca geliyor",-0.3,"Negatif"
"1593","",0,"Nötr"
"1594","",0.3,"Pozitif"
"1595","mecliste evde denemeyiniz xd",0.6,"Pozitif"
"1596","fark ettinizmi butun videolar haval sona erıyor",0,"Nötr"
"1597","hoca lolcü çıktı arkadaşlar",0.8,"Pozitif"
"1598","ellerine sağlık zevkleheyecanla finalde güzel devamını dilerim",0.9,"Pozitif"
"1599","konuyu dışından içine komple bilsem ağzından dinlemek farklı oluyor",-0.6,"Negatif"
"1600","youtubeda izlenecek varsın iyiki varsın",0.3,"Pozitif"
"1601","uzaylı değilmişim twitche geri dönmedim",0,"Nötr"
"1602","",0,"Nötr"
"1603","demaciaaaaa",0.3,"Pozitif"
"1604","sağlık",0.9,"Pozitif"
"1605","",0.3,"Pozitif"
"1606","cidden anlatıcılığın cümleleri özenli dikkatli seçtiğin belli vurucu anlamlı cümleler özellikle sonunu na bağlaman ince hoş hareket blogumda yazılarımı yazarken senden ilham almaya çalışarak yazıyorum başarılar elbette",0.9,"Pozitif"
"1607","sonunda",0.8,"Pozitif"
"1608","ruhi çenet elon muskın quotsimulasyon teorisiquotnden bahsetti apzından dinleyip kaç konuda fikir yürütmek isterim umarım",0.5,"Pozitif"
"1609","legends dedikten süleymanoğlunu görünce başta quotbunu konu almaya değer bulmuşquot derken ilerledikçe anlam kazandı",0.8,"Pozitif"
"1610","",0,"Nötr"
"1611","sonunu cep herkülümüz legends parçasıyla iyi bağlamışsınız beyciğim",0.7,"Pozitif"
"1612","zamanlar hayalim profesyonel esporcu olma hikayemden vazgeçip şuan hukuk fakültesi hazırlık yapan gurur verici izlerken tuylerimin olmaması elimde değildi özellikle son final tuylerimi etmekten duygulandirdi ellerine sağlık güzel 🂠💠",0.8,"Pozitif"
"1613","satranç sporsa oyunlar spordur",0.2,"Pozitif"
"1614","oyun yapımcısı esporun geldiği yerdende bulunacağım atmosferdende memnunum✨ fakat gözlerim brodeu aramadı ❗💠",0.3,"Pozitif"
"1615","spor olduğuna katılıyorum fiziksel zihinsel gelişimi sağlayan herşey spor sayılabilir elektronik kısmına katılıyorum dijital iyi olurdu sanki",0.4,"Pozitif"
"1616","sonrası güzel olmuş🟮🟮",0.9,"Pozitif"
"1617","nasıl duygu yönetimidir yemin çıkınca az kaldı bağıra bağıra ağlayacaktım heykelini yapsalar beton yetmez sağlık",0.4,"Pozitif"
"1618","",0,"Nötr"
"1619","videolarınızı kısa tutarsanız izlenirsiniz emin olabilirsiniz bundan📡",0.1,"Pozitif"
"1620","dine laf ettiğim bilimde din yoktur",-0.1,"Negatif"
"1621","nasıl yapıyorsun sonunda oluyor",0.3,"Pozitif"
"1622","şikeli maçlar deyince dedim şikebahçe orayada el attı",0,"Nötr"
"1623","oyun oynayalım ı oynamayalımı",0.3,"Pozitif"
"1624","tüyleri",0.2,"Pozitif"
"1625","bilgisayar başinda oturmak spor dildir",0.4,"Pozitif"
"1626","<b>yine gram sıkılmadan ayaktaysa sizlerin sayesinde <b>",0.9,"Pozitif"
"1627","biliyorum efso anlatiyosun moruq",0.8,"Pozitif"
"1628","dru",0.4,"Pozitif"
"1629","değilde star craft iyi oyun",0.7,"Pozitif"
"1630","nasıl kralsın",0,"Nötr"
"1631","lolden ekle bari 🜤🜤",-0.4,"Negatif"
"1632","farkı yeni gelenlere selam",0.5,"Pozitif"
"1633","bjk energy vardı aralar",0,"Nötr"
"1634","sağlık insanlar oyun sanıyolar halbuki amaclar farklı teşekkür icin",0.9,"Pozitif"
"1635","yaşarız konulu çekerseniz yaşadığımı sizden dinlemek isterim",-0.6,"Negatif"
"1636","lecinds nevir dayyyyyyyyyyy",0.3,"Pozitif"
"1637","yemin son saniyelerde gözlerimden aniden seller yaşlar süzüldü efsaneyi kaybettiğimiz legends şarkısını turnuvadaki şarkı performansını birkaç gün önce denk gelip defalarca izledikten zamanlamayla videonuzda montajlamanız aşırı derecede etkiledi sizi inşaallah sizin insanlar gelecekte çoğalır dünya güzel yer sevgiler",0.8,"Pozitif"
"1638","güzel birde oyuncuların mesela ferit karakaya twitch canlı yayın yaparak para kazanması hayatlarını ona yaşamalarıyla yaparsan güzel",0.8,"Pozitif"
"1639","tam spor sayılamaz parmaklarını beynini yoran zarar veren şeyi spor kıyaslamak yanlış",-0.5,"Negatif"
"1640","kafa nakli yapacak olon doktoru konu alsana videonda",0.3,"Pozitif"
"1641","dunyadan gercekten haberim yoktu baştan aşyaa sok oldm🖹",-0.6,"Negatif"
"1642","ülkemizde yeni gelişmekte powerlifting sporuna el atabilir misiniz sıralar düzenlenen şampiyonada birinciliklerimiz rekorlarımız değerlendirirseniz sevinirim",0.3,"Pozitif"
"1643","sonunu bağlamış",0.3,"Pozitif"
"1644","krallığının önünde saygıyla eğiliyoruz kelimeyle muazzamsın",0.8,"Pozitif"
"1645","mid sal sonofabitch",0.2,"Pozitif"
"1646","lol oynamayan kaybetmiştir yaşamasın",0.1,"Pozitif"
"1647","üstad göz",0,"Nötr"
"1648","world tanks💬",0,"Nötr"
"1649","hemen gitip oynayayim",0.7,"Pozitif"
"1650","adamsin olaya önyargılı yaklaşan basit olduğunu boş olduğunu düşünen insanlar hala cesit musabaka cesit eglence araci coğu genç artik futbol basketbol maçlarindansa espor maclarindan zevk aliyorken işe önyargili bakmak küçümsemek yanlis",-0.3,"Negatif"
"1651","nasıl güzel insansın son beklemiyordum",0.6,"Pozitif"
"1652","",0.3,"Pozitif"
"1653","yorumu ❤️❤️",0.9,"Pozitif"
"1654","inanilmaz hikaye anlaticisin",0.3,"Pozitif"
"1655","bariş videolarini keyifle merakla izliyorum gercekten doğru gerçek şeyle söylüyorsun oneride bulunmak istiyorum biliyorsun aralik dünya engelliler günü hayatimizda engellik kardesimiz onlarin zor hayatlarini zorlaştiracak bircok zorluk mesela engelli park yerine park ediliyor kaldirimlarin orta yerlerine ağaçlar dikiliyor bunun konulara insanlarimizin dikkatli olmalari engelli kardeslerimizi düşünerek hareket etmeliler kisacasi bununla hazirlayabilirsin <br>tohumlar toprağa engelliler topluma emanettir",-0.3,"Negatif"
"1656","spor",0.4,"Pozitif"
"1657","platformunda faydalı içerik űreten kanalın sahibi olman bizede az gurur veriyor őzcan",0.9,"Pozitif"
"1658","insanları nasıl boş şeylerle tutarız düşünüp bulmuşlar sanırım hayatın anlamını bulamasınlar empoze ediliyorlar gelip geçici dünya hayatında israf insanın temel yapması gereken kendisini allaha beğendirmeye çalışmakken hayatı boş şeylere adamak dehşet",-0.2,"Negatif"
"1659","yeminlen sonunda rahmet eylesin iyi",0.9,"Pozitif"
"1660","sonunu beğendim",0.3,"Pozitif"
"1661","robotlar özellikle boston dynamics hakkinda yapabilir misiniz mesela bazı iş kollarinda robotlarin insanlarin yerini almasiyla ortaya cikabilecek sorunlara deginebilirsiniz belki",0.2,"Pozitif"
"1662","",0,"Nötr"
"1663","kızın söylediği sarkının ismini bilen varmı",0,"Nötr"
"1664","tabiki degil",-0.4,"Negatif"
"1665","frozeeeennnn",0.3,"Pozitif"
"1666","anlatımınız hatalı futbol oyundur ancak bahsedilirken futbol oynayanları izlemeye gittik demez kimse oyun olduğunu itiraf etmek istemezler futbol maçıdır e spor olduğunda oyun nitelendiriyorsunuz yada oyuncuların çocuk olduğunu vurgulama ihtiyacı emre mora kimse çocuk demiyordu oynadığı oyun oyuncak farklı",-0.5,"Negatif"
"1667","kesinlikle spor",0.8,"Pozitif"
"1668","süleymanoğlunu görünce gözlerim devamını 🙭",0.8,"Pozitif"
"1669","gönülden final muhteşem 🖮🖮🖮 oynanan oyun hakında aile büyükleri aydınlatıcı çekersen araştırdım fakat temiz anlatım videosu konularda öğretmenim öğrencilerimin ilgileri dersi birleştirmek tarz videolar arıyorum fakat bulamıyorum mecbur oynaya oynaya öğrenmeye çalışıyorum yardımınıza ihtiyacımız üslubunuz içerikleriniz dünya kalitesinde",0.6,"Pozitif"
"1670","malcolmx çekermisin",0.2,"Pozitif"
"1671","tamam oyunlar beyin jimnastiği yaptırıyor pratik zekanın gelişimine faydalı oluyor olabilir işin müsabakaya dönmesi hobi den çıkıp hastalığa dönmesi nedir",0.6,"Pozitif"
"1672","olduğu gözlerimi doldurmaya yetti",0.9,"Pozitif"
"1673","bariş insaallah ilerde bilgili insan olurum alaninda teksin tanidigim icin mutluyum",0.9,"Pozitif"
"1674","kalite akıyor",0.1,"Pozitif"
"1675","beşiktaş esk tam adıyla beşiktaş elektronik spor kulübü ya bilinen adıyla beşiktaş espor beşiktaşın ocak tarihinde beşiktaş espor kulübü adıyla kurduğu elektronik spor kulübü profesyonel spor kulübü tarafından kurulan elektronik spor kulübü beşiktaş esk league legends yükselme liginde yer almaktadır",0.3,"Pozitif"
"1676","",0.3,"Pozitif"
"1677","keşke beşiktaş ın elektronik takımından bahsetseydin",0.2,"Pozitif"
"1678","e spor",0.9,"Pozitif"
"1679","şahsi görüşüm esporun futbol halkı uyutan etkinlik olduğu yönünde",0.2,"Pozitif"
"1680","bize destek olduğun teşekkür keşke herkes esporun ciddiyetini bilip anlasa",0.9,"Pozitif"
"1681","suleymanoğluyla ilgil kısa yap",0,"Nötr"
"1682","neyse el rekabetçi gireyim",0.2,"Pozitif"
"1683","kaliteli çoğu şeyi bilmeme rağmen öğrendiğim şeyler sağlık",0.9,"Pozitif"
"1684","teknolojinin denli ilerlemesi sizce insanlığın sonunu getirecek insanlığın sonundan kastım olmamız einsan sanal insan olacak olmamız iyi",0,"Nötr"
"1685","twich e dönmedim uzaylı değilim",-0.3,"Negatif"
"1686","lol e laf yok🜠🜠",0.8,"Pozitif"
"1687","ellerine saglık",0.3,"Pozitif"
"1688","zaman twitche dönüyorum bariş hadi bb",0.5,"Pozitif"
"1689","umulmadık anda bizi duygulandırdın mekanın cennet",0.7,"Pozitif"
"1690","bunlar kereden birşey olmaz diyen arkadaşlar yüzünden oluyor🞬🞬🞬🞬",-0.4,"Negatif"
"1691","espor spor mudur sorusuna şimdilik verecek yanıtım olmasa spor geçen türlü içeriğin centilmenlik çerçevesinde hazırlanması gerektiğini düşünüyorum anansörün bau takımını takdim etmesine videonuz yer verip fenerbahçe takımını takdimini es geçmeniz üzdü",0,"Nötr"
"1692","süleyman oğlu nu görünce baya üzüldüm türkiyeyi madalyaya doyuran sporun yaşatan kırılmamış dünya rekorun u elinde tutan türk sporcu huzur uyu 🞤",0.2,"Pozitif"
"1693","dehşet bariş lt🞥🞥🞥🞥",0.2,"Pozitif"
"1694","merabalar konuya direk girmek istiyorum mimarlık fakültesi öğrencisiyim tasarım konusunda alt yapı eksikliği hissediyorum bunun meslek hayatında etkileyeceğini düşünüyorum bunun tasarım nedir nasıl tasarım yeteneği geliştirilir detaylı inciğine boncuğuna girerek hazırlasan bazı arkadaşlar makbule geçer",0.1,"Pozitif"
"1695","duygulandım yahu yapmış",0.3,"Pozitif"
"1696","espor sporsa rüyamda koştuğum maraton spor",0.4,"Pozitif"
"1697","gerek vardı süleymanoğlunun orda olmasına saçma",-0.6,"Negatif"
"1698","dk sjdkfıdkskgkgks",0,"Nötr"
"1699","rica etsem pasif oyunculuk hazırlar mısınız",0.4,"Pozitif"
"1700","ozcan kanalı türkiye kaliteli",0.9,"Pozitif"
"1701","",0,"Nötr"
"1702","hahahahah futbol makamı",0.4,"Pozitif"
"1703","support main nicksahasrara",0.2,"Pozitif"
"1704","ağlattın",0.3,"Pozitif"
"1705","f moto gp motor sporları reflekse dayalı sporlardır spor görülüyor e spor tamamen refleks beyin gücüne dayalı spordur spor sayılmaması hiçbir yoktur <br>naim dünyanın iyi sporcusu seçildiği zamanlar henüz yaşında idim fakat ilerleyen zamanlarda namını duymuş etkilenmiş birisiydim ufak yaşlarda iken göğsümüzü kabartan başarıların eşi benzeri yoktu türkiye tarihinde spor camiasında adını dünyalara duyurmuş isimdir işıkıklar uyusun mekanı cennet güzel son tekrar tekrar teşekkür",0.7,"Pozitif"
"1706","güzel ellerine salık sakal yakışıyor arada",0.9,"Pozitif"
"1707","tarz özellikle league legendsi uzun yıllar boyunca oynamış yeni yeni uzaklaşmış üniversite son sınıf öğrencisiyim iyi sayilabilecek bölümüm yaşamda birden gerçekçi amacım zamanda sosyal birisiyim diyalog kurmakta zorlandığımı söyleyemem şimdi konumuza gelelim keza asosyal değilim tarz oyunların proaktif heyecanlı atmosferinde kafa dağıtıp oynamayı izlemeyi seven birisiyim arkadaşlar gözünüzü açin oyunlar ciddi yatırımlar alıyor sürekli devinentabiri caizse everincreasingly biçimde ileriye gidiyor tarz oynamak zorunda değilsiniz olumsuz eleştirilerde yapabilirsiniz ancak an oyunların küresel gidişatına yabancı kalmak quot amaaan oyun quot diyip geçmek fütüristik bakış açısından uzak kalmaktan ziyade anı kaçırmak adlandırılabilir dünyadaki yatırımlar yana ülkemizde dahi bjk fb gs tanınmış kulüplerin dahi arenaya girişi size oyun kavramının ötesine geçiş yapan sektör çağrışımı yapmıyor ciddi yatırımlar alıp sürekli kitleyi arkasına takıp durmadan ileriye giden tahmin edemeyeceğiniz paranın döndüğü sektöre yabancı kalmak gelecekte bizi ülkemizi dünyanın dışına iten geriden gelme olgusuna birazcıkta hizmet etmiyor sizce oynamak olay kesinlikle bilin arkadaşlar oluyor bilin dünya sürekli devinen yer geri kalmayın okuyun beye saygım birçok insana sektörü tanıttığı teşekkür süleymanoğluna rahmet diliyorum iyi günler",-0.2,"Negatif"
"1708","vay",0.3,"Pozitif"
"1709","🞵🞵",0.3,"Pozitif"
"1710","fatihi anlat",0.3,"Pozitif"
"1711","spora vücudun gelişmesini etkileyen olay bakan insanlar tarafından boş işler deniliyor ancak yüksek refleks stratejik düşünebilmek anlık karar verebilmek oyun gidişatını okuyabilmek gerektiğinde takımına liderlik etmek özelliklere sahip olmayı gerektiren aktivite spor değilde nedir dijital platformda olduğu boş iş demek cehalet",0,"Nötr"
"1712","fatihi anlat",0.3,"Pozitif"
"1713","fatihi anlat",0.3,"Pozitif"
"1714","hikaye anlatım biçiminiz mecralara beklemediğim süleymanoğluna bağlanacağını quotefsaneler ölmezquot sahnesine anlamamıştım çoğu senarist sizin yarattığınız quottwistquoti yaratamıyor saygıdeğer insansınız vesselam",-0.6,"Negatif"
"1715","fatihi anlat",0.3,"Pozitif"
"1716","reisss",0.3,"Pozitif"
"1717","eskisi çerçevesiz gözlüğünüze geri dönmenize sevindim kesinlikle yakışıyor saçlar gitmiş sıhhatler",-0.1,"Negatif"
"1718","",0,"Nötr"
"1719","dedıgın burda olmuyo valla ders calıssam kımse gelıp aferın demıyo acıyım oyun oynuyum kafam dagılsın dıyıp pc basına otursam yıne oyun oynuyon geberecen pc nın basında derler",-0.5,"Negatif"
"1720","cep herkülü süleymanoğluna rahmet eylesin koreye olimpiyata gittiğinde başına gidip çift gelmişti türklüğümüzü heryerde belli ediyoz",0.1,"Pozitif"
"1721","final efsaneydi",0.3,"Pozitif"
"1722","isim konulmuş turnuva",-0.2,"Negatif"
"1723","tür sporlar bilgi verip insanları bilinçlendirmen güzel güzel yerlere gelmen dileğiyle",0.8,"Pozitif"
"1724","bau super massive 🕠❤🕠🕠🕠🕠🕠🕠🕠🕠🕠🕠🕠🕠",-0.5,"Negatif"
"1725","ensevdigin şanpiyon kim",0.1,"Pozitif"
"1726","<a mid salsana lan",0,"Nötr"
"1727","şekil değiştirir <br>seyit onbaşi",0.2,"Pozitif"
"1728","azeri hafız birde dogum tarihleri gunlerine ayni anlam veremedim amma rahmet eylesin",0.1,"Pozitif"
"1729","nedense aileler oyuna saçma diyor 👠👠👠",-0.7,"Negatif"
"1730","kim bilebilirdi sonunun cep herkülüne yarattığin gururlar",0.4,"Pozitif"
"1731","ensev dihin şanpiyon kim",0.3,"Pozitif"
"1732","yasag gardesim yasag 📡📡",0.3,"Pozitif"
"1733","dora nin efsaneydo",0.2,"Pozitif"
"1734","türkiye zaman adamın kalitesine ulaşacak bilmiyorum",0,"Nötr"
"1735","dersimli yi tanıyan varsa izlemesine gerek",0,"Nötr"
"1736","içimden türk deme gururu 📧📧",0,"Nötr"
"1737","oyunlar ilgim yoktur ilgi videonu anlatımın herşeyi izlettiriyor sayedede konuda bilgi sahibi oluyorum sonunda etkileyici rahmet eylesin",0.9,"Pozitif"
"1738","nun finalini cep herkülü bitirince duygulanmadım",0,"Nötr"
"1739","spordur maruq",0.3,"Pozitif"
"1740","siz evde meclisde denemeyin ssnjdjdjdjdjd",0,"Nötr"
"1741","izledikten sonraa lol maçı attım<br>d",0,"Nötr"
"1742","super beee",0.9,"Pozitif"
"1743","yapti yapacagini tuyler",0.3,"Pozitif"
"1744","satranç nasıl spor dalı espor spor sayılır fiziğini kullanmıyor olman spor yapmıyor olmadığın anlamına gelmez önemli organ beynimizi elkol kordinasyonlarını kullanarak oynuyoruz sonuçta",-0.1,"Negatif"
"1745","içerikler oldukça güzel kalırsada dijital spor diyebiliriz cidden geçen gün dijitalleşiyoruz",0.9,"Pozitif"
"1746","elektronik spor espor isin raconu elektronik sözü edevlet eptt oyun sektörünün sucu bunda genel tabirdir espor tabiki spordue futbol fiziksel aktivite olmasına gerek satranç nasıl zeka sporuysa oyunda zeka sporudur üstelik satranç düşünmek yetmez ellerinin çabuk olması lazım bazen saniyeyi bulmayan sürelerde birden tuşa basman gerekli takım arkadaşlarınla anlaşabilmek iyi iletişim becerisine sahip olman gerekir önemlisi sporda olduğu iyi karakter gerektirir kazandığında sevinirken kaybettiğinde sinirlenip sövmemen gerekir",0.1,"Pozitif"
"1747","tan sonrasını defa geri alıp bağımlılık yaptı",0.6,"Pozitif"
"1748","👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏",0.4,"Pozitif"
"1749","dikenn",0.3,"Pozitif"
"1750","lecınds nevır dayyyyyy",0.3,"Pozitif"
"1751","futbol izleyen yada esport takip eden insanların gözümdeki yeri yağmuru ağzı açık izleyen hindilerle aynıdır",0.2,"Pozitif"
"1752","supu saymadı yak yak yak",0.1,"Pozitif"
"1753","hayatımda gördüğüm kaliteli kanal",0.9,"Pozitif"
"1754","gob egoist şerefsizdir",0.3,"Pozitif"
"1755","güzel",0.9,"Pozitif"
"1756","sonunda gozlerim yasardi cocuklugumun kahramanlari birer birer aramizdan ayriliyor",0.2,"Pozitif"
"1757","muhteşem ötesi süleymanoğluna yapılan jest tebrikler zaman şeyler bekliyorum",0.9,"Pozitif"
"1758","sonunda yaptın",0.7,"Pozitif"
"1759","elektironik spor spor",0.5,"Pozitif"
"1760","farklı iki birleştirilirken çıkan mause sesi dikkat dağıtıcı",0.2,"Pozitif"
"1761","az önce lol oynuyorduk",0,"Nötr"
"1762","kaliteli videolar çekiyorsun süpersin",0.9,"Pozitif"
"1763","finali",0.9,"Pozitif"
"1764","tuyler adamsin",0.3,"Pozitif"
"1765","harikaaaaaa",0.3,"Pozitif"
"1766","özcana tüm beton fabrikaları feda",0,"Nötr"
"1767","sal tasiyalim",0.2,"Pozitif"
"1768","son kısım",0.3,"Pozitif"
"1769","sonunda nerdeyse ağlıyordum beklemiyordum güzel oyuna değindin espor yerine egame türev tanımlar getirilebilir belki beyin sporu yapılıyor spor başka tanım getirilmesine sıcak bakmıyorum",0.7,"Pozitif"
"1770","somuncu sahne iyi",0.4,"Pozitif"
"1771","simülasyon teorisi cekermisin",0.2,"Pozitif"
"1772","nasıl finaldir mısır gevreğimi yerken ağlamaya başladım bize ilham kahramana saygılar",0.1,"Pozitif"
"1773","allahım",0.9,"Pozitif"
"1774","spacesoldiera selamlar burdan👣",0.5,"Pozitif"
"1775","izlerken etkilenip sonunda ağlamak 🔥",0.3,"Pozitif"
"1776","burada anlatılan moba diğerlerinden mmorpg oyunlar kaç gencin hayatını kararttı karartacak merak jenerasyonun katili oyunlardı bundan sonrakilerin görünen olmaya edecek bilim teknoloji sanat dallara ağırlık verilmesi gereken yaşlarda fizik kimya matematik müzik resim edebiyat insan gelişimi son derece önemli konularla uğraşılması öğrenilmesi gereken zamanlarda genç arkadaşlarımızı tamamen atıl duruma düşürüp zamanlarını boşa harcamalarına sebep quotkanserdirquot tarz oyunlar gördüğün quotesporquot oyuncuları profesyonel olanları oldukça azdır belli zamandan işe yaramayıp şansları yaver giderse fast food zincirinde vasıfsız çalışan hayatlarına etmek zorunda kalan insanlar tarz şeyleri promote ederken dikkatli olmanı rica edeceğim üzülerek görüyorum anda işin pazarlamasına para zaman harcanıyor olay eskisinden şatafatlı göz alıcı hale getirildi ileride kuvvetle muhtemel işe yaramaz tembel nesil karşımıza çıkacak yapabilirlerse günümüz ebeynlerinin başarısının çocuklarını tarz işe yaramaz dikkat dağıtıcı olaylardan uzak tutabilmeleri olacağını düşünüyorum aksi halde sonuç farklı olmayacak",-0.5,"Negatif"
"1777","sondaki ayrıntı süperdi",0.3,"Pozitif"
"1778","bts sea 바다 şarkısını sözleriyle gözden geçir kesinlikle anlamlı şarkı",0.9,"Pozitif"
"1779","yasssağb kardeşim yassağh",0.3,"Pozitif"
"1780","efsaneainnnmmmnmn",0.3,"Pozitif"
"1781","ülkede heykelin yoksa taşşaklarına beton yetmediği",0,"Nötr"
"1782","sporun güneş altında götü sikilene koşmak olduğunu sanan salaklar quotbele spor yeaquot atarlanabilir",0.1,"Pozitif"
"1783","masa oyunlarının bazıları spor başlığına alınabiliyorsa şayetbilgisayar oyunlarıda spor kapsamına girebilir",0.1,"Pozitif"
"1784","ef sa",0,"Nötr"
"1785","sevdiğim kanal kisi<br>ve halterciyim sonunda ağliyasim geldi",0.8,"Pozitif"
"1786","<a mecliste evde denemeyin",0.3,"Pozitif"
"1787","ejderhayi nasil yapmislar acaba",0,"Nötr"
"1788","millet herşeyi yapıyor biz yavrum okuyun memur olun",-0.4,"Negatif"
"1789","sindirella degil kul kedisi",0.7,"Pozitif"
"1790","guzel olmusss",0.9,"Pozitif"
"1791","seferinde dramatik çıkış yapabilmene hayranım sevdiğim özelliklerinden izledikten hayatımın dakikasını iyi kullandım diyebiliyorum",0.7,"Pozitif"
"1792","süleymanoğluna dklık sonla veda etmek hoş olmamış eminim yakın zamanda cep herkülü çekeceksinizdir",-0.7,"Negatif"
"1793","sevdiğim legends şarkısını sevdiğim birleştirmeniz müthiş duygulandım",0.9,"Pozitif"
"1794","sonunu beklemediğim yapmışsın göz yaşlarımı tutamadım teşekkür",0.9,"Pozitif"
"1795","yasu mid sal",0.2,"Pozitif"
"1796","etme son sahnede rahmet eylesin",0.8,"Pozitif"
"1797","mid salar mısın",0.1,"Pozitif"
"1798","son kısım güzel duygulandım vallaha",0.8,"Pozitif"
"1799","sevmedim konuya",-0.8,"Negatif"
"1800","cumhurbaşkani ol",0.2,"Pozitif"
"1801","ana izlediğim videolar arasında gördüğüm iyi diğer hesaplara geçip onlardan like attım",0.9,"Pozitif"
"1802","efsanesiin",0.3,"Pozitif"
"1803","aga beee",0.3,"Pozitif"
"1804","bronzlar toplansın bronz degilim",0.1,"Pozitif"
"1805","şaçları kesmiş yaaa",0.1,"Pozitif"
"1806","spor fiziksel aktivitedir bunun spor olması saçma",-0.6,"Negatif"
"1807","",0,"Nötr"
"1808","tane begeni ozelligi lazim elinize saglik 🐴",0.8,"Pozitif"
"1809","final",0.1,"Pozitif"
"1810","spor nedir bunun tanimiyla cevaplanabilir",0.2,"Pozitif"
"1811","videolarını silmeden önce başka isimli kanalın videosunu izlerken görmüştüm günden beri takip yaptığın içerikleri beğenerek izliyorum oyunların oyuncusu olduğum videonu beğendim konuya değindiğini görmek sevindirdi videoda işin yönünü insanlara göstermiş olduğun teşekkür",0.9,"Pozitif"
"1812","süper",0.9,"Pozitif"
"1813","tüm farklı klasmanda hayatlarını sürdüren insanların beyin yumcuklamasını sağladın gerçek zamanda görüşmek dileğiyle",0.8,"Pozitif"
"1814","golf bilardo satranç spor sayılıyorsa bilgisayar sayılabilir",0.4,"Pozitif"
"1815","saçlarını havalandırması rekorlarından aklımda süleymanoğlundan uçakta babası yaşında adamı tartaklayan arda anlamda üzülmemek elde",0.1,"Pozitif"
"1816","",0,"Nötr"
"1817","olmandan mutluyum gururluyum",0.3,"Pozitif"
"1818","vurdun",0.3,"Pozitif"
"1819","süpersin dediğin rahmet eylesin mekanı cennet",0.9,"Pozitif"
"1820","haftasonları gelen videolarına bayılıyorum mis kalite kokuyor oturup boyunca ekranda konuşsan sıkılmaz insan vallahi",0.4,"Pozitif"
"1821","arkada çalan müzik biraraya gelince gözlerim yaşardı yalan soyleyeyim <b>efsaneler olmez<b>",-0.5,"Negatif"
"1822","dalda konuda muhteşem içerikler çıkaran abimizsin ellerine saglık",0.9,"Pozitif"
"1823","e spor spordur baska soze gerek",0.5,"Pozitif"
"1824","spor gelecek olimpiyatlarda yer almamalı ara quotespor olimpiyatlarda yer alsınquot konusu gündeme gelmeye başladı kesinlikle karşıyım olimpiyatların havasını ruhunu yansıtan organizasyon espor çaplarında yapsınlar olimpiyatlarını yaratsınlar gerçek sporun yarıştığı yerde işleri pc sporcularının",0.3,"Pozitif"
